pais	proyecto	variable	positivos	n	pct
Argentina	PRJNA1321764	sin_carbapenemasa	5	55	9.1
Argentina	PRJNA1321764	CC258	30	55	54.5
Argentina	PRJNA1321764	blaKPC	25	55	45.5
Argentina	PRJNA1321764	blaNDM	27	55	49.1
Argentina	PRJNA1331742	sin_carbapenemasa	1	12	8.3
Argentina	PRJNA1331742	CC258	4	12	33.3
Argentina	PRJNA1331742	blaKPC	8	12	66.7
Argentina	PRJNA1331742	blaNDM	4	12	33.3
Argentina	PRJNA658369	sin_carbapenemasa	1	18	5.6
Argentina	PRJNA658369	CC258	13	18	72.2
Argentina	PRJNA658369	blaKPC	17	18	94.4
Argentina	PRJNA658369	blaNDM	0	18	0.0
Brazil	PRJEB25631	sin_carbapenemasa	4	8	50.0
Brazil	PRJEB25631	CC258	7	8	87.5
Brazil	PRJEB25631	blaKPC	4	8	50.0
Brazil	PRJEB25631	blaNDM	0	8	0.0
Brazil	PRJEB25746	sin_carbapenemasa	1	26	3.8
Brazil	PRJEB25746	CC258	22	26	84.6
Brazil	PRJEB25746	blaKPC	25	26	96.2
Brazil	PRJEB25746	blaNDM	0	26	0.0
Brazil	PRJEB34380	sin_carbapenemasa	0	80	0.0
Brazil	PRJEB34380	CC258	60	80	75.0
Brazil	PRJEB34380	blaKPC	71	80	88.8
Brazil	PRJEB34380	blaNDM	9	80	11.2
Brazil	PRJEB41225	sin_carbapenemasa	1	38	2.6
Brazil	PRJEB41225	CC258	33	38	86.8
Brazil	PRJEB41225	blaKPC	37	38	97.4
Brazil	PRJEB41225	blaNDM	0	38	0.0
Brazil	PRJNA1000963	sin_carbapenemasa	0	13	0.0
Brazil	PRJNA1000963	CC258	6	13	46.2
Brazil	PRJNA1000963	blaKPC	13	13	100.0
Brazil	PRJNA1000963	blaNDM	0	13	0.0
Brazil	PRJNA1017435	sin_carbapenemasa	0	11	0.0
Brazil	PRJNA1017435	CC258	2	11	18.2
Brazil	PRJNA1017435	blaKPC	11	11	100.0
Brazil	PRJNA1017435	blaNDM	11	11	100.0
Brazil	PRJNA1077801	sin_carbapenemasa	4	8	50.0
Brazil	PRJNA1077801	CC258	4	8	50.0
Brazil	PRJNA1077801	blaKPC	4	8	50.0
