pais	bioproject	n_genomas	pct_sin_carbapenemasa	pct_ST2	pct_blaOXA23	pct_blaOXA72	kl_dominante	pct_kl_dominante	st_dominante	pct_st_dominante	n_linajes	replicon_dominante	pct_replicon_dominante	media_contigs	periodo
Argentina	PRJNA906166	25	0.0	8.0	100.0	0.0	KL1	64.0	ST1	64.0	3	r3-T14	64.0	317.0	2019-2019
Argentina	PRJNA1081428	11	90.9	0.0	0.0	0.0	KL77	36.4	ST15	45.5	4	r3-T14	54.5	66.4	2014-2014
Argentina	PRJNA1140135	8	0.0	75.0	100.0	0.0	KL3	75.0	ST2	75.0	2	r3-T1	75.0	112.4	2023-2024
Argentina	PRJNA1404816	8	100.0	0.0	0.0	0.0	KL77	75.0	ST15	50.0	3		0.0	1.0	1993-1998
Bolivia	PRJNA489088	55	12.7	0.0	87.3	0.0	KL9	40.0	ST25	58.2	5	r3-T1	50.9	325.3	2015-2016
Brasil	PRJNA613847	167	1.8	53.3	92.2	7.2	KL7	53.9	ST2	53.3	12	r3-T1	89.8	110.6	2008-2021
Brasil	PRJNA742192	45	73.3	0.0	13.3	13.3	KL22	22.2	ST79	31.1	6	r3-T1	86.7	113.1	2006-2014
Brasil	PRJNA677881	44	11.4	0.0	47.7	13.6	KL9	15.9	ST79	31.8	13	r3-T1	52.3	153.4	2011-2021
Brasil	PRJNA1477026	43	7.0	34.9	93.0	0.0	KL56	16.3	ST2	34.9	9	rP-T1	46.5	122.3	2023-2023
Brasil	PRJNA301792	24	12.5	0.0	79.2	0.0	KL9	33.3	ST79	62.5	5	r3-T1	58.3	637.8	2002-2018
Brasil	PRJNA1420207	21	14.3	19.0	85.7	0.0	KL9	42.9	ST15	47.6	6	r3-T14	52.4	90.6	2019-2023
Brasil	PRJNA632943	21	0.0	0.0	71.4	38.1	KL3	23.8	ST79	61.9	5	r3-T1	81.0	336.5	2012-2017
Brasil	PRJNA1311549	17	0.0	100.0	100.0	0.0	KL7	100.0	ST2	100.0	1	r3-T1	82.4	74.9	2022-2023
Brasil	PRJNA938102	16	0.0	93.8	100.0	0.0	KL56	50.0	ST2	93.8	1	r3-T1	93.8	137.1	2022-2022
Chile	PRJNA723341	47	59.6	0.0	19.1	0.0	KL22	57.4	ST15	34.0	7	r3-T14	74.5	126.0	1990-2024
Chile	PRJNA731249	35	28.6	0.0	37.1	0.0	KL9	48.6	ST109	28.6	7	r3-T14	77.1	88.7	2010-2013
Colombia	PRJEB107069	47	48.9	0.0	40.4	0.0	KL22	10.6	ST79	25.5	20	r3-T26	21.3	93.6	2020-2021
Colombia	PRJNA906166	13	0.0	0.0	92.3	7.7	KL3	53.8	ST25	53.8	4	r3-T26	30.8	318.7	2019-2019
Paraguay	PRJNA1012735	43	2.3	32.6	97.7	0.0	KL9	34.9	ST2	32.6	7	r3-T14	51.2	98.7	2021-2022
Paraguay	PRJEB56918	19	5.3	5.3	78.9	0.0	KL1	47.4	ST1	47.4	6	r3-T14	63.2	188.8	2020-2020
Paraguay	PRJNA1197744	8	0.0	87.5	100.0	0.0	KL3	50.0	ST2	87.5	2	r3-T1	87.5	2.4	2024-2024
Peru	PRJNA1339005	19	21.1	73.7	26.3	52.6	KL9	36.8	ST2	73.7	3	r3-T18	68.4	115.6	2023-2024
