pais,bioproject,st,genomas
Argentina,PRJEB27899,ST25,1
Argentina,PRJEB27899,ST15,1
Argentina,PRJEB39593,ST15,1
Argentina,PRJNA1081428,ST15,5
Argentina,PRJNA1081428,ST109,3
Argentina,PRJNA1081428,ST79,2
Argentina,PRJNA1081428,ST1,1
Argentina,PRJNA1126181,ST25,1
Argentina,PRJNA1140135,ST2,6
Argentina,PRJNA1140135,ST25,2
Argentina,PRJNA1158483,ST79,1
Argentina,PRJNA1209693,ST172,1
Argentina,PRJNA1245013,ST25,1
Argentina,PRJNA1369536,ST991,1
Argentina,PRJNA1369536,ST25,1
Argentina,PRJNA1404816,ST15,4
Argentina,PRJNA1404816,ST79,3
Argentina,PRJNA1404816,ST1,1
Argentina,PRJNA257414,ST79,1
Argentina,PRJNA261239,ST1,1
Argentina,PRJNA276040,ST25,1
Argentina,PRJNA398382,ST15,2
Argentina,PRJNA487603,ST25,1
Argentina,PRJNA541269,ST172,1
Argentina,PRJNA624091,ST172,1
Argentina,PRJNA624111,ST25,1
Argentina,PRJNA866144,ST2,2
Argentina,PRJNA906166,ST1,16
Argentina,PRJNA906166,ST25,7
Argentina,PRJNA906166,ST2,2
Argentina,PRJNA988092,ST2,4
Argentina,PRJNA988092,ST25,2
Bolivia,PRJEB39593,ST15,1
Bolivia,PRJNA1126181,ST25,1
Bolivia,PRJNA1126181,ST267,1
Bolivia,PRJNA1369536,ST25,2
Bolivia,PRJNA489088,ST25,32
Bolivia,PRJNA489088,ST991,18
Bolivia,PRJNA489088,ST79,3
Bolivia,PRJNA489088,ST15,1
Bolivia,PRJNA489088,ST267,1
Brasil,PRJNA1000208,ST1,1
Brasil,PRJNA1000208,ST79,1
Brasil,PRJNA1003529,ST15,1
Brasil,PRJNA1003529,ST1,1
Brasil,PRJNA1003529,ST730,1
Brasil,PRJNA1003529,ST79,1
Brasil,PRJNA1122506,ST1,1
Brasil,PRJNA1140850,ST79,1
Brasil,PRJNA1149802,ST329,1
Brasil,PRJNA1253151,ST2,5
Brasil,PRJNA1253151,ST79,1
Brasil,PRJNA1253151,ST25,1
Brasil,PRJNA1311549,ST2,17
Brasil,PRJNA1348140,ST15,1
Brasil,PRJNA1415282,ST162,1
Brasil,PRJNA1415308,ST15,1
Brasil,PRJNA1415314,ST2,1
Brasil,PRJNA1415317,ST2,1
Brasil,PRJNA1415320,ST162,1
Brasil,PRJNA1415326,sin ST,1
Brasil,PRJNA1415328,ST193,1
Brasil,PRJNA1415331,ST2,1
Brasil,PRJNA1415333,ST1,1
Brasil,PRJNA1415334,ST2,1
Brasil,PRJNA1415335,ST2,1
Brasil,PRJNA1415336,ST1,1
Brasil,PRJNA1415338,sin ST,1
Brasil,PRJNA1415340,ST143,1
Brasil,PRJNA1420207,ST15,10
Brasil,PRJNA1420207,ST2,4
Brasil,PRJNA1420207,ST79,3
Brasil,PRJNA1420207,ST986,1
Brasil,PRJNA1420207,ST25,1
Brasil,PRJNA1420207,sin ST,1
Brasil,PRJNA1420207,ST1448,1
Brasil,PRJNA1477026,ST2,15
Brasil,PRJNA1477026,ST2742,9
Brasil,PRJNA1477026,ST15,5
Brasil,PRJNA1477026,ST188,3
Brasil,PRJNA1477026,sin ST,3
Brasil,PRJNA1477026,ST1,3
Brasil,PRJNA1477026,ST231,2
Brasil,PRJNA1477026,ST25,1
Brasil,PRJNA1477026,ST216,1
Brasil,PRJNA1477026,ST729,1
Brasil,PRJNA280110,ST15,1
Brasil,PRJNA299302,ST15,1
Brasil,PRJNA301792,ST79,15
Brasil,PRJNA301792,ST317,3
Brasil,PRJNA301792,ST15,3
Brasil,PRJNA301792,ST107,2
