pais	bioproject	n	variable	valor	pct
Argentina	PRJNA1081428	11	sin_carbapenemasa	-	90.9
Argentina	PRJNA1081428	11	ST2	-	0.0
Argentina	PRJNA1081428	11	blaOXA-23	-	0.0
Argentina	PRJNA1081428	11	blaOXA-72	-	0.0
Argentina	PRJNA1081428	11	capsula_dominante	KL77	36.4
Argentina	PRJNA1081428	11	linaje_dominante	ST15	45.5
Argentina	PRJNA1081428	11	replicon_dominante	r3-T14	54.5
Argentina	PRJNA1081428	11	n_linajes_distintos	4	36.4
Argentina	PRJNA1140135	8	sin_carbapenemasa	-	0.0
Argentina	PRJNA1140135	8	ST2	-	75.0
Argentina	PRJNA1140135	8	blaOXA-23	-	100.0
Argentina	PRJNA1140135	8	blaOXA-72	-	0.0
Argentina	PRJNA1140135	8	capsula_dominante	KL3	75.0
Argentina	PRJNA1140135	8	linaje_dominante	ST2	75.0
Argentina	PRJNA1140135	8	replicon_dominante	r3-T1	75.0
Argentina	PRJNA1140135	8	n_linajes_distintos	2	25.0
Argentina	PRJNA1404816	8	sin_carbapenemasa	-	100.0
Argentina	PRJNA1404816	8	ST2	-	0.0
Argentina	PRJNA1404816	8	blaOXA-23	-	0.0
Argentina	PRJNA1404816	8	blaOXA-72	-	0.0
Argentina	PRJNA1404816	8	capsula_dominante	KL77	75.0
Argentina	PRJNA1404816	8	linaje_dominante	ST15	50.0
Argentina	PRJNA1404816	8	replicon_dominante	ninguno	100.0
Argentina	PRJNA1404816	8	n_linajes_distintos	3	37.5
Argentina	PRJNA906166	25	sin_carbapenemasa	-	0.0
Argentina	PRJNA906166	25	ST2	-	8.0
Argentina	PRJNA906166	25	blaOXA-23	-	100.0
Argentina	PRJNA906166	25	blaOXA-72	-	0.0
Argentina	PRJNA906166	25	capsula_dominante	KL1	64.0
Argentina	PRJNA906166	25	linaje_dominante	ST1	64.0
Argentina	PRJNA906166	25	replicon_dominante	r3-T14	64.0
Argentina	PRJNA906166	25	n_linajes_distintos	3	12.0
Bolivia	PRJNA489088	55	sin_carbapenemasa	-	12.7
Bolivia	PRJNA489088	55	ST2	-	0.0
Bolivia	PRJNA489088	55	blaOXA-23	-	87.3
Bolivia	PRJNA489088	55	blaOXA-72	-	0.0
Bolivia	PRJNA489088	55	capsula_dominante	KL9	40.0
Bolivia	PRJNA489088	55	linaje_dominante	ST25	58.2
