pais	proyecto	variable	positivos	n	pct
Argentina	PRJNA1081428	sin_carbapenemasa	10	11	90.9
Argentina	PRJNA1081428	ST2	0	11	0.0
Argentina	PRJNA1081428	blaOXA23	0	11	0.0
Argentina	PRJNA1081428	blaOXA72	0	11	0.0
Argentina	PRJNA1140135	sin_carbapenemasa	0	8	0.0
Argentina	PRJNA1140135	ST2	6	8	75.0
Argentina	PRJNA1140135	blaOXA23	8	8	100.0
Argentina	PRJNA1140135	blaOXA72	0	8	0.0
Argentina	PRJNA1404816	sin_carbapenemasa	8	8	100.0
Argentina	PRJNA1404816	ST2	0	8	0.0
Argentina	PRJNA1404816	blaOXA23	0	8	0.0
Argentina	PRJNA1404816	blaOXA72	0	8	0.0
Argentina	PRJNA906166	sin_carbapenemasa	0	25	0.0
Argentina	PRJNA906166	ST2	2	25	8.0
Argentina	PRJNA906166	blaOXA23	25	25	100.0
Argentina	PRJNA906166	blaOXA72	0	25	0.0
Bolivia	PRJNA489088	sin_carbapenemasa	7	55	12.7
Bolivia	PRJNA489088	ST2	0	55	0.0
Bolivia	PRJNA489088	blaOXA23	48	55	87.3
Bolivia	PRJNA489088	blaOXA72	0	55	0.0
Brasil	PRJNA1311549	sin_carbapenemasa	0	17	0.0
Brasil	PRJNA1311549	ST2	17	17	100.0
Brasil	PRJNA1311549	blaOXA23	17	17	100.0
Brasil	PRJNA1311549	blaOXA72	0	17	0.0
Brasil	PRJNA1420207	sin_carbapenemasa	3	21	14.3
Brasil	PRJNA1420207	ST2	4	21	19.0
Brasil	PRJNA1420207	blaOXA23	18	21	85.7
Brasil	PRJNA1420207	blaOXA72	0	21	0.0
Brasil	PRJNA1477026	sin_carbapenemasa	3	43	7.0
Brasil	PRJNA1477026	ST2	15	43	34.9
Brasil	PRJNA1477026	blaOXA23	40	43	93.0
Brasil	PRJNA1477026	blaOXA72	0	43	0.0
Brasil	PRJNA301792	sin_carbapenemasa	3	24	12.5
Brasil	PRJNA301792	ST2	0	24	0.0
Brasil	PRJNA301792	blaOXA23	19	24	79.2
Brasil	PRJNA301792	blaOXA72	0	24	0.0
Brasil	PRJNA613847	sin_carbapenemasa	3	167	1.8
Brasil	PRJNA613847	ST2	89	167	53.3
Brasil	PRJNA613847	blaOXA23	154	167	92.2
Brasil	PRJNA613847	blaOXA72	12	167	7.2
Brasil	PRJNA632943	sin_carbapenemasa	0	21	0.0
Brasil	PRJNA632943	ST2	0	21	0.0
Brasil	PRJNA632943	blaOXA23	15	21	71.4
Brasil	PRJNA632943	blaOXA72	8	21	38.1
Brasil	PRJNA677881	sin_carbapenemasa	5	44	11.4
Brasil	PRJNA677881	ST2	0	44	0.0
Brasil	PRJNA677881	blaOXA23	21	44	47.7
Brasil	PRJNA677881	blaOXA72	6	44	13.6
Brasil	PRJNA742192	sin_carbapenemasa	33	45	73.3
Brasil	PRJNA742192	ST2	0	45	0.0
Brasil	PRJNA742192	blaOXA23	6	45	13.3
Brasil	PRJNA742192	blaOXA72	6	45	13.3
Brasil	PRJNA938102	sin_carbapenemasa	0	16	0.0
Brasil	PRJNA938102	ST2	15	16	93.8
Brasil	PRJNA938102	blaOXA23	16	16	100.0
Brasil	PRJNA938102	blaOXA72	0	16	0.0
Chile	PRJNA723341	sin_carbapenemasa	28	47	59.6
Chile	PRJNA723341	ST2	0	47	0.0
Chile	PRJNA723341	blaOXA23	9	47	19.1
Chile	PRJNA723341	blaOXA72	0	47	0.0
Chile	PRJNA731249	sin_carbapenemasa	10	35	28.6
Chile	PRJNA731249	ST2	0	35	0.0
Chile	PRJNA731249	blaOXA23	13	35	37.1
Chile	PRJNA731249	blaOXA72	0	35	0.0
Colombia	PRJEB107069	sin_carbapenemasa	23	47	48.9
Colombia	PRJEB107069	ST2	0	47	0.0
Colombia	PRJEB107069	blaOXA23	19	47	40.4
Colombia	PRJEB107069	blaOXA72	0	47	0.0
Colombia	PRJNA906166	sin_carbapenemasa	0	13	0.0
Colombia	PRJNA906166	ST2	0	13	0.0
Colombia	PRJNA906166	blaOXA23	12	13	92.3
Colombia	PRJNA906166	blaOXA72	1	13	7.7
Paraguay	PRJEB56918	sin_carbapenemasa	1	19	5.3
Paraguay	PRJEB56918	ST2	1	19	5.3
Paraguay	PRJEB56918	blaOXA23	15	19	78.9
Paraguay	PRJEB56918	blaOXA72	0	19	0.0
Paraguay	PRJNA1012735	sin_carbapenemasa	1	43	2.3
Paraguay	PRJNA1012735	ST2	14	43	32.6
Paraguay	PRJNA1012735	blaOXA23	42	43	97.7
Paraguay	PRJNA1012735	blaOXA72	0	43	0.0
Paraguay	PRJNA1197744	sin_carbapenemasa	0	8	0.0
Paraguay	PRJNA1197744	ST2	7	8	87.5
Paraguay	PRJNA1197744	blaOXA23	8	8	100.0
Paraguay	PRJNA1197744	blaOXA72	0	8	0.0
Peru	PRJNA1339005	sin_carbapenemasa	4	19	21.1
Peru	PRJNA1339005	ST2	14	19	73.7
Peru	PRJNA1339005	blaOXA23	5	19	26.3
Peru	PRJNA1339005	blaOXA72	10	19	52.6
