accesion	tipo_registro	bioproject	biosample	pais	ciudad	anio	fecha_colecta	fuente_aislamiento	tipo_aislamiento	hospedero	colector	plataforma	n_contigs	longitud_total	st_pasteur	st_oxford	kl	ocl	carbapenemasa_adquirida	genes_carbapenemasa	tipos_rep_apt	oxa72_contexto
ERR17057656	ensamblado_propio	PRJEB107069	SAMEA121030813	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	61	3919290	-	472	KL22	OCL6	no	ninguna	r3-T18,r3-T3,r3-T31	
ERR17057657	ensamblado_propio	PRJEB107069	SAMEA121030814	Colombia		2020	2020	ulcer Tissue	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	30	3818644	1190	1775	KL72	OCL1	no	ninguna	ninguno	
ERR17057661	ensamblado_propio	PRJEB107069	SAMEA121030817	Colombia		2020	2020	tissue secretion	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	35	3888749	-	-	KL183	OCL2	no	ninguna	ninguno	
ERR17057662	ensamblado_propio	PRJEB107069	SAMEA121030818	Colombia		2020	2020	tissue	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	116	3978972	79	205	KL22	OCL5	si	blaOXA-23	r1-T4,r3-T11,r3-T26	
ERR17057663	ensamblado_propio	PRJEB107069	SAMEA121030819	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	109	3979328	79	205	KL22	OCL5	si	blaOXA-23	r1-T4,r3-T11,r3-T26	
ERR17057664	ensamblado_propio	PRJEB107069	SAMEA121030820	Colombia		2020	2020	tissue	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	97	3967519	79	2128	KL32	OCL5	si	blaOXA-23	r3-T26	
ERR17057667	ensamblado_propio	PRJEB107069	SAMEA121030822	Colombia		2020	2020	bone	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	154	4161987	79	-	KL9	OCL10	no	ninguna	r3-T13	
ERR17057669	ensamblado_propio	PRJEB107069	SAMEA121030824	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	64	3971160	32	472	KL22	OCL6	si	blaNDM-1	r3-T3,r3-T5,r3-T7	
ERR17057670	ensamblado_propio	PRJEB107069	SAMEA121030825	Colombia		2020	2020	urine	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	99	3998493	78	-	KL23	OCL1	si	blaOXA-23	ninguno	
ERR17057672	ensamblado_propio	PRJEB107069	SAMEA121030827	Colombia		2020	2020	blood	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	30	3906371	2588	3263	KL203	OCL4	no	ninguna	r3-T27	
ERR17057674	ensamblado_propio	PRJEB107069	SAMEA121030829	Colombia		2020	2020	tissue	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	80	3927339	32	-	KL2	OCL6	no	ninguna	r3-T13,r3-T3	
ERR17057680	ensamblado_propio	PRJEB107069	SAMEA121030833	Colombia		2020	2020	lower respiratory track	clinical	Homo sapiens	GHRU Colombia	ILLUMINA	102	4260344	945	813	KL134	OCL5	si	blaOXA-23	r3-T23,rP-T1	
