acc	pais	bioproject	anio	st	cc258	kpc	ndm	carb
GCA_000316265.2	Argentina	PRJNA176122	1980	14	no	no	no	no
GCA_000512165.1	Brazil	PRJNA78291	2009	442	no	si	no	si
GCA_000807515.2	Colombia	PRJNA259791	2012	392	no	no	si	si
GCA_001645745.1	Brazil	PRJNA313926	2015	-	no	no	no	no
GCA_001701895.1	Brazil	PRJNA307517	2013	11	si	si	no	si
GCA_001701915.1	Brazil	PRJNA307517	2013	437	si	si	no	si
GCA_001715215.1	Brazil	PRJNA336378	2014	437	si	si	no	si
GCA_001718115.2	Brazil	PRJNA323981	2011	340	si	si	no	si
GCA_001720345.1	Brazil	PRJNA337953	2010	855	no	si	no	si
GCA_001756835.2	Brazil	PRJNA326415	2011	-	no	si	no	si
GCA_001968745.2	Brazil	PRJNA324074	2011	437	si	si	no	si
GCA_001968755.2	Brazil	PRJNA324070	2011	437	si	si	no	si
GCA_022305095.1	Brazil	PRJNA252957	2006	11	si	no	no	no
GCA_022305015.1	Brazil	PRJNA252957	2007	258	si	si	no	si
GCA_022304995.1	Brazil	PRJNA252957	2007	258	si	si	no	si
GCA_022304975.1	Brazil	PRJNA252957	2008	437	si	si	no	si
GCA_022304515.1	Brazil	PRJNA252957	2008	437	si	si	no	si
GCA_022304535.1	Brazil	PRJNA252957	2009	11	si	si	no	si
GCA_022304495.1	Brazil	PRJNA252957	2009	437	si	si	no	si
GCA_022304475.1	Brazil	PRJNA252957	2010	340	si	si	no	si
GCA_022304455.1	Brazil	PRJNA252957	2010	340	si	si	no	si
GCA_022304435.1	Brazil	PRJNA252957	2010	855	no	si	no	si
GCA_022304395.1	Brazil	PRJNA252957	2010	855	no	si	no	si
GCA_022304295.1	Colombia	PRJNA252957	2009	258	si	si	no	si
GCA_022304335.1	Colombia	PRJNA252957	2009	258	si	si	no	si
GCA_002099165.1	Brazil	PRJNA381140	2016	392	no	si	no	si
GCA_002104175.1	Brazil	PRJNA377546	2013	340	si	si	no	si
GCA_002104185.1	Brazil	PRJNA377546	2016	258	si	si	no	si
GCA_002104215.1	Brazil	PRJNA377546	2014	11	si	si	no	si
GCA_002104265.1	Brazil	PRJNA377546	2013	258	si	si	no	si
GCA_002104255.1	Brazil	PRJNA377546	2014	340	si	si	no	si
GCA_002104295.1	Brazil	PRJNA377546	2015	258	si	si	no	si
GCA_002104315.1	Brazil	PRJNA377546	2013	11	si	si	no	si
GCA_002104355.1	Brazil	PRJNA377546	2013	11	si	si	no	si
GCA_002104365.1	Brazil	PRJNA377546	2014	340	si	si	no	si
GCA_002104705.1	Brazil	PRJNA377546	2013	11	si	si	no	si
GCA_002119885.1	Colombia	PRJNA353361	2013	512	si	si	no	si
GCA_002119895.1	Colombia	PRJNA353361	2013	512	si	si	no	si
GCA_002119955.1	Colombia	PRJNA353361	2013	14	no	si	no	si
GCA_002120065.1	Colombia	PRJNA353361	2014	868	no	si	no	si
GCA_002120105.1	Colombia	PRJNA353361	2012	512	si	si	no	si
GCA_002154825.1	Brazil	PRJNA369191	2011	340	si	si	no	si
GCA_002157345.1	Brazil	PRJNA361484	2013	198	no	no	no	no
