pais	linaje	anio	accesion	bioproject	kl	copias_con_ISAba1
Argentina	ST25	2011	GCA_001007775.1	PRJNA276040	KL9	1
Argentina	ST25	2016	GCA_006843645.1	PRJNA487603	KL149	1
Argentina	ST25	2018	GCA_042153585.1	PRJNA1126181	KL23	1
Argentina	ST25	NA	GCA_053819325.1	PRJNA1369536	KL9	1
Argentina	ST79	2021	GCA_041927285.1	PRJNA1158483	KL9	1
Argentina	ST991	NA	GCA_053819305.1	PRJNA1369536	KL81	1
Bolivia	ST15	NA	ERR5709464	PRJEB39593	KL9	1
Bolivia	ST25	2016	GCA_003584485.1	PRJNA489088	KL33	1
Bolivia	ST25	2016	GCA_042142835.1	PRJNA1126181	KL22	1
Bolivia	ST25	2016	GCA_053819165.1	PRJNA1369536	KL22	1
Bolivia	ST25	2016	GCA_053819345.1	PRJNA1369536	KL49	1
Bolivia	ST991	2015	GCA_003596065.1	PRJNA489088	KL9	1
Bolivia	ST991	2016	GCA_003584535.1	PRJNA489088	KL9	1
Brasil	ST15	2009	GCA_000988155.1	PRJNA280110	KL81	1
Brasil	ST15	2016	GCA_015537855.1	PRJNA613847	KL22	1
Brasil	ST15	2018	GCA_012955845.1	PRJNA301792	KL81	1
Brasil	ST15	2020	GCA_053309335.1	PRJNA1348140	KL81	1
Brasil	ST188	2023	GCA_058672355.1	PRJNA1477026	KL33	1
Brasil	ST25	2013	GCA_015537565.1	PRJNA613847	KL139	1
Brasil	ST25	2016	GCA_009829595.1	PRJNA596391	KL139	1
Brasil	ST25	2016	GCA_015537035.1	PRJNA613847	KL139	1
Brasil	ST25	2016	GCA_015538305.1	PRJNA613847	KL139	1
Brasil	ST25	2017	GCA_016485085.1	PRJNA632943	KL139	1
Brasil	ST79	2008	GCA_003812485.1	PRJNA505170	KL49	1
Brasil	ST79	2014	GCA_020657695.1	PRJNA772654	KL33	1
Chile	ST15	2011	GCA_024139075.1	PRJNA731249	KL22	1
Chile	ST162	2011	GCA_024138435.1	PRJNA731249	KL19	1
Chile	ST162	2012	GCA_024271825.1	PRJNA731249	KL19	1
Chile	ST79	2011	GCA_024139035.1	PRJNA731249	KL9	1
Colombia	ST78	2019	GCA_026555055.1	PRJNA906166	KL3	1
Ecuador	ST79	2020	GCA_026340865.1	PRJEB56918	KL9	1
Paraguay	ST1	2022	GCA_034296695.1	PRJNA1012735	KL1	1
Paraguay	ST15	2021	GCA_034297075.1	PRJNA1012735	KL9	1
Paraguay	ST2	2024	GCA_048067285.1	PRJNA1197744	KL3	2
Paraguay	ST2	2024	GCA_048067295.1	PRJNA1197744	KL3	2
Paraguay	ST2	2024	GCA_048067305.1	PRJNA1197744	KL81	2
Paraguay	ST2	2024	GCA_048069565.1	PRJNA1197744	KL3	2
Paraguay	ST2	2024	GCA_048480215.1	PRJNA1197744	KL81	2
Paraguay	ST2	2024	GCA_050030175.1	PRJNA1197744	KL81	2
Paraguay	ST2	2024	GCA_050030675.1	PRJNA1197744	KL3	2
Paraguay	ST25	2022	GCA_034296825.1	PRJNA1012735	KL149	1
Paraguay	ST2526	2021	GCA_034296805.1	PRJNA1012735	KL22	1
Paraguay	ST79	2024	GCA_050030185.1	PRJNA1197744	KL9	1
Venezuela	ST79	2015	GCA_050269755.1	PRJNA1255660	KL22	1
