genoma	gen	gen_contig	gen_ini	gen_fin	contig_len	estado	reps_mismo_contig	dist_min_pb	reps_otros_contigs
ERR17057662	blaOXA-23	contig00082	146	964	NA	NO_EVALUABLE	-	NA	r1-T4,r3-T11,r3-T26
ERR17057663	blaOXA-23	contig00080	146	964	NA	NO_EVALUABLE	-	NA	r1-T4,r3-T11,r3-T26
ERR17057664	blaOXA-23	contig00058	146	964	NA	NO_EVALUABLE	-	NA	r3-T26
ERR17057669	blaNDM-1	contig00033	1143	1952	NA	NO_EVALUABLE	-	NA	r3-T3,r3-T5,r3-T7
ERR17057670	blaOXA-23	contig00067	144	962	NA	SIN_REP_EN_GENOMA	-	NA	-
ERR17057680	blaOXA-23	contig00067	143	961	NA	NO_EVALUABLE	-	NA	r3-T23,rP-T1
ERR17057681	blaOXA-23	contig00058	143	961	NA	NO_EVALUABLE	-	NA	r3-T23,rP-T1
ERR17057689	blaOXA-23	contig00056	139	957	NA	NO_EVALUABLE	-	NA	r3-T26
ERR17057690	blaOXA-23	contig00058	139	957	NA	NO_EVALUABLE	-	NA	r3-T26
ERR17057691	blaOXA-23	contig00056	139	957	NA	NO_EVALUABLE	-	NA	r3-T26
ERR17057692	blaOXA-23	contig00056	798	1616	NA	NO_EVALUABLE	-	NA	r3-T26
ERR17057696	blaOXA-23	contig00076	145	963	NA	SIN_REP_EN_GENOMA	-	NA	-
ERR17057698	blaOXA-23	contig00019	84180	84998	NA	SIN_REP_EN_GENOMA	-	NA	-
ERR17057700	blaOXA-241	contig00001	1267006	1267827	NA	NO_EVALUABLE	-	NA	r3-T24
ERR17057705	blaNDM-1	contig00051	8685	9494	NA	NO_EVALUABLE	-	NA	r3-T3
ERR17057710	blaOXA-23	contig00077	798	1616	NA	NO_EVALUABLE	-	NA	r3-T11,r3-T26
ERR17057711	blaOXA-23	contig00078	797	1615	NA	SIN_REP_EN_GENOMA	-	NA	-
ERR17057712	blaOXA-23	contig00076	797	1615	NA	SIN_REP_EN_GENOMA	-	NA	-
ERR17057713	blaOXA-23	contig00071	797	1615	NA	SIN_REP_EN_GENOMA	-	NA	-
ERR17057724	blaOXA-23	contig00081	796	1614	NA	NO_EVALUABLE	-	NA	r3-T15
ERR17057730	blaOXA-23	contig00098	6735	7553	NA	NO_EVALUABLE	-	NA	r3-T26
ERR17057731	blaOXA-23	contig00097	6735	7553	NA	NO_EVALUABLE	-	NA	r3-T26
ERR17057737	blaNDM-1	contig00050	12751	13560	NA	NO_EVALUABLE	-	NA	r3-T12,r3-T13,r3-T3
ERR17057738	blaNDM-1	contig00050	204	1013	NA	NO_EVALUABLE	-	NA	r3-T12,r3-T13,r3-T3
ERR4436639	blaOXA-23	contig00048	155	973	NA	NO_EVALUABLE	-	NA	r3-T14
ERR4436744	blaOXA-23	contig00114	206	1024	NA	NO_EVALUABLE	-	NA	r3-T26
ERR5709464	blaOXA-23	contig00056	23406	24224	NA	NO_EVALUABLE	-	NA	r3-T14
ERR5709481	blaOXA-58	contig00055	31	870	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_000757665.1	blaOXA-23	JPXZ01000001.1	158905	159723	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_000814345.1	blaNDM	CP010399.1	46509	47273	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T3
GCA_000966305.1	blaOXA-58	LANH01000026.1	130	969	NA	NO_EVALUABLE	-	NA	r3-T13,r3-T18
GCA_000988155.1	blaOXA-23	LAXF01000049.1	9861	10679	13806	COLOCALIZADO	rP-T1	6768	r3-T14,r3-T3,rP-T1
GCA_001007775.1	blaOXA-23	JZBZ01000031.1	379	1197	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_001649615.1	blaOXA-23	LUUW01000284.1	31317	32135	NA	NO_EVALUABLE	-	NA	r1-T18,r3-T14
GCA_001649675.1	blaOXA-23	LUUZ01000382.1	3896	4714	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_001649705.1	blaOXA-23	LUVB01000490.1	3918	4736	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_001649765.1	blaOXA-23	LUVG01000045.1	177	995	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_001649795.1	blaOXA-23	LUVH01000052.1	768	1586	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_001649805.1	blaOXA-23	LUVK01000061.1	157	975	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_001649875.1	blaOXA-23	LUVC01000046.1	768	1586	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_001649895.1	blaOXA-23	LUVI01000050.1	768	1586	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_001649955.1	blaOXA-23	LUVL01000045.1	768	1586	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_001649975.1	blaOXA-23	LUVM01000360.1	4246	5064	NA	NO_EVALUABLE	-	NA	r1-T18,r3-T14
GCA_001758065.1	blaIMP-1	MANM01000259.1	866	1603	NA	NO_EVALUABLE	-	NA	r3-T31
GCA_001758165.1	blaOXA-143	MANR01000495.1	947	1771	NA	NO_EVALUABLE	-	NA	r3-T43,rP-T1
GCA_001891205.1	blaOXA-72	MPPK01000021.1	3828	4652	8978	COLOCALIZADO	r3-T13	783	r3-T13,r3-T3
GCA_002018935.1	blaOXA-23	MWPK01000032.1	55684	56502	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T57
GCA_002018965.1	blaOXA-23	MWPL01000039.1	9855	10673	NA	NO_EVALUABLE	-	NA	r3-T1,r3-T57
GCA_002018995.1	blaOXA-23	MWPM01000042.1	8263	9081	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_002019005.1	blaOXA-23	MWPN01000045.1	4183	5001	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_002019025.1	blaOXA-23	MWPO01000020.1	32640	33458	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_002019035.1	blaOXA-23	MWPP01000049.1	768	1586	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_002245595.1	blaOXA-23	NKKO01000039.1	170	988	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_002245595.1	blaOXA-23	NKKO01000103.1	170	988	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_002245665.1	blaOXA-23	NKKP01000248.1	768	1586	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_002250465.1	blaOXA-23	NLCO01000026.1	83	901	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_002922935.1	blaOXA-231	PQVM01000012.1	1944	2768	3941	COLOCALIZADO	r3-T69	119	r3-T69
GCA_003325575.1	blaOXA-23	QORF01000126.1	68460	69278	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003325665.1	blaOXA-23	QORH01000023.1	106462	107280	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003583525.1	blaOXA-23	QXNZ01000143.1	242	1060	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003583565.1	blaOXA-23	QXOG01000210.1	8940	9758	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003583575.1	blaOXA-23	QXOH01000366.1	4660	5478	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003583605.1	blaOXA-23	QXON01000168.1	128	946	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003583615.1	blaOXA-23	QYCV01000311.1	124	942	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003583625.1	blaOXA-23	QXOE01000234.1	4709	5527	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003583665.1	blaOXA-23	QXOL01000165.1	126	944	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_003584255.1	blaOXA-23	QXOA01000160.1	8923	9741	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584275.1	blaOXA-23	QXOC01000077.1	155	973	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584305.1	blaOXA-23	QXOD01000279.1	130	948	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584315.1	blaOXA-23	QYCS01000161.1	155	973	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584365.1	blaOXA-23	QXOI01000222.1	4671	5489	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584375.1	blaOXA-23	QXOJ01000018.1	4671	5489	NA	NO_EVALUABLE	-	NA	rP-T1
GCA_003584385.1	blaOXA-23	QXOK01000067.1	126	944	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003584425.1	blaOXA-23	QXOM01000036.1	124	942	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584445.1	blaOXA-23	QXOO01000260.1	125	943	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584455.1	blaOXA-23	QXOP01000192.1	8588	9406	NA	NO_EVALUABLE	-	NA	r1-T4,r3-T1
GCA_003584485.1	blaOXA-23	QYCW01000078.1	379	1197	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003584505.1	blaOXA-23	QYCX01000059.1	8943	9761	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003584515.1	blaOXA-23	QYCT01000110.1	155	973	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003584535.1	blaOXA-23	QYCU01000048.1	379	1197	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003595665.1	blaOXA-23	QXOQ01000243.1	128	946	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003595675.1	blaOXA-23	QXOR01000050.1	240	1058	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003595685.1	blaOXA-23	QXOS01000164.1	130	948	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003595745.1	blaOXA-23	QXOT01000217.1	6860	7678	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003595755.1	blaOXA-23	QXOU01000277.1	128	946	NA	NO_EVALUABLE	-	NA	rP-T1
GCA_003595765.1	blaOXA-23	QXOV01000115.1	128	946	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003595805.1	blaOXA-23	QXOX01000191.1	969	1787	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003595815.1	blaOXA-23	QXOY01000080.1	130	948	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_003595835.1	blaOXA-23	QXPB01000196.1	976	1794	NA	NO_EVALUABLE	-	NA	r3-T1
GCA_003595865.1	blaOXA-23	QXPC01000072.1	130	948	NA	NO_EVALUABLE	-	NA	r3-T14
GCA_003595925.1	blaOXA-23	QXPF01000200.1	8192	9010	NA	NO_EVALUABLE	-	NA	r3-T1,rP-T1
GCA_003595935.1	blaOXA-23	QXPG01000280.1	130	948	NA	SIN_REP_EN_GENOMA	-	NA	-
GCA_003595955.1	blaOXA-23	QXPH01000113.1	27664	28482	NA	SIN_REP_EN_GENOMA	-	NA	-
