#Organism group	BioProject	BioSample	Strain	Isolate	Isolate identifiers	Assembly	Run	Location	Lat/Lon	Collection date	Isolation source	Isolation type	Collected by	Host	Create date	AMR genotypes	AST phenotypes	Length	Contigs	N50	Platform	SNP cluster	Min-diff	Scientific name	Computed types	Virulence genotypes	Host disease
Klebsiella pneumoniae	PRJNA176122	SAMN01939166	JHCK	PDT000011670.2	"JHCK","MTE2","SRS399118"	GCA_000316265.2		Argentina	34.0000 S 64.0000 W	1980	cerebrospinal fluid	clinical	Tolmasky	human (infant)	2013-04-05T19:54:00Z	aac(3)-IIe=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaOXA-9=COMPLETE,blaSCO-1=COMPLETE,blaSHV-28=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA8=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE		6015282	227	129981				Klebsiella pneumoniae JHCK1			pneumonae
Klebsiella pneumoniae	PRJNA78291	SAMN02641520	Kp13	PDT000020134.1	"CP003999","Kp13"	GCA_000512165.1		Brazil		2009	blood	clinical		Homo sapiens	2013-12-30T17:50:35Z	aac(6')-Ib'=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,blaCTX-M-2=COMPLETE,blaKPC-2=COMPLETE,blaOXA-9=COMPLETE,blaSHV-110=COMPLETE,blaSHV-12=COMPLETE,blaTEM-1=COMPLETE,cmlA4=COMPLETE,dfrA15=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,mgrB_V26GfsTer4=POINT,ompK36_D135DGD=POINT,oqxA=COMPLETE,oqxB19=COMPLETE,parC_S80I=POINT,rmtG=COMPLETE,sat2=COMPLETE,sul1=COMPLETE,sul2=COMPLETE		5739888	7	5307003				Klebsiella pneumoniae subsp. pneumoniae Kp13		ybtP=COMPLETE,ybtQ=COMPLETE	
Klebsiella pneumoniae	PRJNA264954	SAMN03144673	CCBH13327	PDT000046332.1	"CCBH13327","klebsiella pneumoniae CCBH 13327"	GCA_000805735.1		Brazil		2013-07	Rectal swab				2014-12-19T19:05:30Z	aac(3)-IIe=COMPLETE,aac(6')-Iq=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,arr-5=COMPLETE,blaCARB-2=COMPLETE,blaCTX-M-2=COMPLETE,blaNDM-1=COMPLETE,blaSHV-1=COMPLETE,blaTEM-15=COMPLETE,ble=COMPLETE,catA1=COMPLETE,dfrA16=COMPLETE,dfrA8=COMPLETE,emrD=COMPLETE,fosA7=MISTRANSLATION,fosA=COMPLETE,oqxA=COMPLETE,oqxB19=COMPLETE,qnrA1=COMPLETE,sul1=COMPLETE,sul2=PARTIAL,tet(D)=COMPLETE		6023590	106	135950				Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA259791	SAMN03255440	6234	PDT000046565.2	"6234","GCID_KLEB_00005","SRS789602"	GCA_000807515.2		Colombia	2.59 N 75.18 W	2012	bodily fluid	clinical	CIDEIM	Homo sapiens	2015-01-06T15:11:15Z	aac(3)-I=HMM,aac(3)-IIe=COMPLETE,aac(6')-29=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-VI=COMPLETE,aph(6)-Id=COMPLETE,blaCARB-2=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaSHV-11=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB11=COMPLETE,catB3=COMPLETE,catB3=PARTIAL,cmlA1=COMPLETE,dfrA14=COMPLETE,emrD=COMPLETE,erm=HMM,fosA=COMPLETE,gyrA_S83I=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrB1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul2=PARTIAL,tet(A)=COMPLETE		5705808	5	5310235		PDS000076201.5		Klebsiella pneumoniae			
Klebsiella pneumoniae	PRJNA259658	SAMN04252930	SMART_773	PDT000100550.1	"GCID_ENTES_00050_biosample","SMART_773","SRS1179683"	GCA_001472725.1		Brazil		2012		clinical	Johann Pitout	Homo sapiens	2015-12-21T19:12:12Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,ampC-Kaer=COMPLETE,blaKPC-2=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83T=POINT,oqxB=COMPLETE		5560824	76	254042				Klebsiella aerogenes		clbB=COMPLETE,clbN=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	clinical or host-associated bacteria
Klebsiella pneumoniae	PRJNA259658	SAMN04252931	SMART_774	PDT000100551.1	"GCID_ENTES_00051_biosample","SMART_774","SRS1179685"	GCA_001472755.1		Brazil		2012		clinical	Johann Pitout	Homo sapiens	2015-12-21T19:12:16Z	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,ampC-Kaer=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaKPC-2=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA14=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83T=POINT,oqxB=COMPLETE,qnrB1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		5595319	75	250349				Klebsiella aerogenes		clbB=COMPLETE,clbN=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	clinical or host-associated bacteria
Klebsiella pneumoniae	PRJNA259658	SAMN04430995	SMART_1372	PDT000103785.1	"GCID_ENTES_00089_biosample","SMART_1372","SRS1255073"	GCA_001525245.1		Colombia		2014	urine	clinical	Johann Pitout	Homo sapiens	2016-01-22T13:30:34Z	aac(6')-Ib-cr5=COMPLETE,aadA16=COMPLETE,ampC-Kaer=COMPLETE,arr-3=COMPLETE,blaKPC-2=COMPLETE,blaTEM=PARTIAL,dfrA27=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83T=POINT,oqxB=COMPLETE,qnrB19=COMPLETE,sul1=COMPLETE		5136321	55	188512				Klebsiella aerogenes		iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE	clinical or host-associated bacteria
Klebsiella pneumoniae	PRJNA313926	SAMN04956567	KPC45	PDT000131071.1	"KPC45"	GCA_001645745.1		Brazil	18.8815815 S 48.25991729 W	2015-03-25	anal swab	clinical	Clinical Hospital from Federal University of Uberlandia	Homo sapiens	2016-05-17T21:03:14Z	blaCTX-M-15=COMPLETE,blaSHV-11=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,pmrA_G53S=POINT,sul2=PARTIAL_END_OF_CONTIG		6196584	47	425093				Klebsiella pneumoniae subsp. pneumoniae		ybtP=COMPLETE,ybtQ=COMPLETE	colonization
Klebsiella pneumoniae	PRJNA322201	SAMN05068064	Ea77	PDT000132524.2	"Ea77"	GCA_001649605.2		Brazil	17.67804472 S 44.81597900 W	2011-05	rectal swab	clinical	Nilton Lincopan	Homo sapiens	2016-09-12T16:40:14Z	aac(3)-IIe=COMPLETE,ampC-Kaer=COMPLETE,blaKPC-2=COMPLETE,blaTEM-1=COMPLETE,dfrA22=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxB=COMPLETE,sul1=COMPLETE		5561052	37	396034				Klebsiella aerogenes		clbB=COMPLETE,clbN=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	Colonization
Klebsiella pneumoniae	PRJNA312243	SAMN04496843	D2	PDT000134608.1	"D2","Enterobacter aerogenes","SRS1659866"	GCA_001662705.1		Brazil: Hospital de Clinicas of Universidade Federal do Parana	25 S 49 W	2007-10-12	catheter from patient in intensive care unit	clinical	Jussara Kasuko Palmeiro	Homo sapiens	2016-06-15T14:08:10Z	aac(3)-IIe=COMPLETE,aac(6')-Ib3=COMPLETE,aac(6')-Ib=COMPLETE,aadA1=COMPLETE,ampC_Kaer-1=COMPLETE,blaCTX-M-2=COMPLETE,blaOXA-2=COMPLETE,blaOXA-9=COMPLETE,blaTEM=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catA2=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,ompK35_Y121LfsTer3=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrS1=COMPLETE,sul1=COMPLETE		5821782	129	102262				Klebsiella aerogenes		clbB=COMPLETE,clbN=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	not collected
Klebsiella pneumoniae	PRJNA315166	SAMN04550333	D3	PDT000134609.1	"D3","Enterobacter aerogenes D3","SRS1659867"	GCA_001662695.1		Brazil	25 S 49 W	2006-12-12	bronchoalveolar lavage fluid	clinical	Jussara Kasuko Palmeiro	Homo sapiens	2016-06-15T14:08:17Z	aac(6')-Ib=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,ampC_Kaer-1=COMPLETE,blaCTX-M-59=COMPLETE,blaOXA-9=COMPLETE,blaTEM-1=COMPLETE,cmlA4=COMPLETE,dfrA15=COMPLETE,emrD=COMPLETE,fosA=COMPLETE,gyrA_S83I=POINT,oqxA=COMPLETE,oqxB=COMPLETE,parC_S80I=POINT,qnrS1=COMPLETE,rmtG=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(D)=COMPLETE		5584363	129	99398				Klebsiella aerogenes		clbB=COMPLETE,clbN=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroN=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	not collected
