accesion	bioproject	anio	st_pasteur	kl	ocl	genes_carbapenemasa	tipos_rep_apt	oxa72_contexto	n_contigs	fuente_aislamiento
GCA_006494085.1	PRJNA545079	2012	ST1126	KL3	OCL2	ninguna	r3-T3,r3-T5,r3-T57	-	73	respiratory
GCA_006494575.1	PRJNA545079	2012	ST106	KL157	OCL6	ninguna	r3-T7,r3-T94	-	130	wound
SRR37377127	PRJNA1015678	2012	ST158	KL6	OCL1	ninguna	r3-T3	-	26	wound
GCA_006493735.1	PRJNA545079	2013	ST79	KL4	OCL10	ninguna	r3-T1,r3-T18	-	128	respiratory
GCA_006493975.1	PRJNA545079	2013	ST193	KL52	OCL6	blaIMP-16	r3-T7	-	239	blood
SRR37377138	PRJNA1015678	2013	ST158	KL6	OCL1	ninguna	r3-T13,r3-T3	-	79	wound
SRR37377149	PRJNA1015678	2016	ST158	KL6	OCL1	ninguna	r3-T3	-	45	-
SRR37377150	PRJNA1015678	2016	ST158	KL6	OCL1	ninguna	r3-T3	-	38	-
GCA_051941745.1	PRJNA1128084	2021	ST2724	KL9	OCL1	blaOXA-72	r3-T18,r3-T28	r3-T18	449	tracheal secretion
GCA_051942065.1	PRJNA1128084	2021	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28,r3-T3	r3-T18	123	Blood culture
GCA_037545705.1	PRJNA936143	2022	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28	r3-T18	143	Bronchial secretion
GCA_037545745.1	PRJNA936143	2022	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28	r3-T18	137	Bronchial secretion
GCA_037545755.1	PRJNA936143	2022	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28	r3-T18	130	Bronchial secretion
GCA_037545805.1	PRJNA936143	2022	ST2	KL2	OCL1	ninguna	r3-T18,r3-T28	r3-T18	160	Bronchial secretion
GCA_053320335.1	PRJNA1339005	2023	ST2	KL2	OCL1	blaOXA-72	r3-T18,r3-T28,r3-T3	r3-T18	131	blood
GCA_053320355.1	PRJNA1339005	2023	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28,r3-T3	r3-T18	97	blood
GCA_053320375.1	PRJNA1339005	2023	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28,r3-T3	r3-T18	119	Bronchial secretion
GCA_053320395.1	PRJNA1339005	2023	ST2	KL9	OCL1	ninguna	r3-T18,r3-T28,r3-T3	r3-T18	109	Bronchial secretion
GCA_053320415.1	PRJNA1339005	2023	ST2	KL2	OCL1	blaOXA-72	r3-T18,r3-T3	r3-T18	127	Bronchoalveolar lavage fluid
GCA_053320195.1	PRJNA1339005	2024	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28,r3-T3	r3-T18	99	Bronchoalveolar lavage fluid
GCA_053320235.1	PRJNA1339005	2024	ST2	KL2	OCL1	blaOXA-72	r3-T3	no_evaluable	177	urine
GCA_053320255.1	PRJNA1339005	2024	ST79	KL13	OCL10	blaOXA-23	r3-T1,r3-T15,r3-T18	-	75	Bronchial secretion
GCA_053320275.1	PRJNA1339005	2024	ST2	KL2	OCL1	blaOXA-72	r3-T3	no_evaluable	121	Bronchial secretion
GCA_053320295.1	PRJNA1339005	2024	ST2	KL9	OCL1	blaOXA-72	r3-T18,r3-T28,r3-T3	r3-T18	113	cerebrospinal fluid
GCA_053320315.1	PRJNA1339005	2024	ST2	KL2	OCL1	blaOXA-72	r3-T18	r3-T18	192	Bronchial secretion
GCA_053320435.1	PRJNA1339005	2024	ST1079	KL107	OCL3	blaOXA-23	r3-T14	-	77	Bronchoalveolar lavage fluid
GCA_053320455.1	PRJNA1339005	2024	ST2	KL9	OCL1	blaOXA-72	r3-T28,r3-T3	no_evaluable	108	cerebrospinal fluid
GCA_053373735.1	PRJNA1339005	2024	ST2	KL2	OCL1	ninguna	r3-T18,r3-T3	r3-T18	152	Necrotic wound swabs
GCA_053373755.1	PRJNA1339005	2024	ST2	KL2	OCL1	ninguna	r3-T18,r3-T3	r3-T18	149	Abscesses
GCA_053373775.1	PRJNA1339005	2024	ST2	KL9	OCL1	ninguna	r3-T18,r3-T28,r3-T3	r3-T18	107	Bronchial secretion
GCA_053373795.1	PRJNA1339005	2024	ST79	KL13	OCL10	blaOXA-23	r3-T1,r3-T15,r3-T18	-	89	sputum
GCA_053373815.1	PRJNA1339005	2024	ST1079	KL107	OCL3	blaOXA-23	r3-T14	-	79	Bronchial secretion
GCA_053373835.1	PRJNA1339005	2024	ST1079	KL107	OCL3	blaOXA-23	r3-T14	-	75	Bronchoalveolar lavage fluid
