accesion	pais	st_pasteur	anio	carbapenemasa	genes_carb	st_oxford	kl	ocl	rep_apt
ERR17057656	Colombia	-	2020	no	ninguna	472	KL22	OCL6	r3-T18,r3-T3,r3-T31
ERR17057657	Colombia	1190	2020	no	ninguna	1775	KL72	OCL1	ninguno
ERR17057661	Colombia	-	2020	no	ninguna	-	KL183	OCL2	ninguno
ERR17057662	Colombia	79	2020	si	blaOXA-23	205	KL22	OCL5	r1-T4,r3-T11,r3-T26
ERR17057663	Colombia	79	2020	si	blaOXA-23	205	KL22	OCL5	r1-T4,r3-T11,r3-T26
ERR17057664	Colombia	79	2020	si	blaOXA-23	2128	KL32	OCL5	r3-T26
ERR17057667	Colombia	79	2020	no	ninguna	-	KL9	OCL10	r3-T13
ERR17057669	Colombia	32	2020	si	blaNDM-1	472	KL22	OCL6	r3-T3,r3-T5,r3-T7
ERR17057670	Colombia	78	2020	si	blaOXA-23	-	KL23	OCL1	ninguno
ERR17057672	Colombia	2588	2020	no	ninguna	3263	KL203	OCL4	r3-T27
ERR17057674	Colombia	32	2020	no	ninguna	-	KL2	OCL6	r3-T13,r3-T3
ERR17057680	Colombia	945	2020	si	blaOXA-23	813	KL134	OCL5	r3-T23,rP-T1
ERR17057681	Colombia	945	2020	si	blaOXA-23	813	KL134	OCL5	r3-T23,rP-T1
ERR17057687	Colombia	-	2020	no	ninguna	-	KL120	OCL1	ninguno
ERR17057689	Colombia	79	2020	si	blaOXA-23	2128	KL32	OCL5	r3-T26
ERR17057690	Colombia	79	2020	si	blaOXA-23	2128	KL32	OCL5	r3-T26
ERR17057691	Colombia	79	2020	si	blaOXA-23	2128	KL32	OCL5	r3-T26
ERR17057692	Colombia	79	2020	si	blaOXA-23	2128	KL32	OCL5	r3-T26
ERR17057693	Colombia	77	2020	no	ninguna	1182	KL37	OCL2	r3-T1
ERR17057695	Colombia	-	2020	no	ninguna	-	KL126	OCL1	ninguno
ERR17057696	Colombia	78	2020	si	blaOXA-23	-	KL3	OCL1	ninguno
ERR17057697	Colombia	79	2020	no	ninguna	-	KL9	OCL10	r3-T13
ERR17057698	Colombia	1163	2020	si	blaOXA-23	762	KL9	OCL10	ninguno
ERR17057699	Colombia	513	2020	no	ninguna	860	KL15	OCL1	ninguno
ERR17057700	Colombia	1022	2020	si	blaOXA-241	2435	KL20	OCL4	r3-T24
ERR17057702	Colombia	37	2020	no	ninguna	-	KL81	OCL6	r3-T2,r3-T46,r3-T6,r3-T78,r3-T91
ERR17057704	Colombia	1055	2020	no	ninguna	-	KL95	OCL7	ninguno
ERR17057705	Colombia	32	2020	si	blaNDM-1	2073	KL2	OCL6	r3-T3
ERR17057708	Colombia	108	2020	no	ninguna	-	KL23	OCL1	r3-T13,r3-T43
ERR17057710	Colombia	79	2020	si	blaOXA-23	205	KL22	OCL5	r3-T11,r3-T26
ERR17057711	Colombia	78	2020	si	blaOXA-23	-	KL3	OCL1	ninguno
ERR17057712	Colombia	78	2021	si	blaOXA-23	-	KL3	OCL1	ninguno
ERR17057713	Colombia	78	2020	si	blaOXA-23	-	KL3	OCL1	ninguno
ERR17057714	Colombia	2284	2020	no	ninguna	3045	KL15	OCL1	ninguno
ERR17057715	Colombia	150	2020	no	ninguna	652	KL97	OCL6	r3-T3,r3-T34,r3-T7
ERR17057720	Colombia	32	2020	no	ninguna	823	KL2	OCL6	r3-T3,r3-T31,r3-T5
ERR17057721	Colombia	1357	2020	no	ninguna	1447	KL121	OCL1	ninguno
ERR17057724	Colombia	78	2021	si	blaOXA-23	-	KL23	OCL1	r3-T15
ERR17057729	Colombia	1405	2021	no	ninguna	-	KL48	OCL21	r3-T3,r3-T7,r3-T80
ERR17057730	Colombia	79	2021	si	blaOXA-23	124	KL151	OCL10	r3-T26
