ID	pais	anio	ST	KL	bioproject	portador_oxa72
ERR17057656	Colombia	2020	ST-	KL22	PRJEB107069	no
ERR17057657	Colombia	2020	ST1190	KL72	PRJEB107069	no
ERR17057661	Colombia	2020	ST-	KL183	PRJEB107069	no
ERR17057662	Colombia	2020	ST79	KL22	PRJEB107069	no
ERR17057663	Colombia	2020	ST79	KL22	PRJEB107069	no
ERR17057664	Colombia	2020	ST79	KL32	PRJEB107069	no
ERR17057667	Colombia	2020	ST79	KL9	PRJEB107069	no
ERR17057669	Colombia	2020	ST32	KL22	PRJEB107069	no
ERR17057670	Colombia	2020	ST78	KL23	PRJEB107069	no
ERR17057672	Colombia	2020	ST2588	KL203	PRJEB107069	no
ERR17057674	Colombia	2020	ST32	KL2	PRJEB107069	no
ERR17057680	Colombia	2020	ST945	KL134	PRJEB107069	no
ERR17057681	Colombia	2020	ST945	KL134	PRJEB107069	no
ERR17057687	Colombia	2020	ST-	KL120	PRJEB107069	no
ERR17057689	Colombia	2020	ST79	KL32	PRJEB107069	no
ERR17057690	Colombia	2020	ST79	KL32	PRJEB107069	no
ERR17057691	Colombia	2020	ST79	KL32	PRJEB107069	no
ERR17057692	Colombia	2020	ST79	KL32	PRJEB107069	no
ERR17057693	Colombia	2020	ST77	KL37	PRJEB107069	no
ERR17057695	Colombia	2020	ST-	KL126	PRJEB107069	no
ERR17057696	Colombia	2020	ST78	KL3	PRJEB107069	no
ERR17057697	Colombia	2020	ST79	KL9	PRJEB107069	no
ERR17057698	Colombia	2020	ST1163	KL9	PRJEB107069	no
ERR17057699	Colombia	2020	ST513	KL15	PRJEB107069	no
ERR17057700	Colombia	2020	ST1022	KL20	PRJEB107069	no
ERR17057702	Colombia	2020	ST37	KL81	PRJEB107069	no
ERR17057704	Colombia	2020	ST1055	KL95	PRJEB107069	no
ERR17057705	Colombia	2020	ST32	KL2	PRJEB107069	no
ERR17057708	Colombia	2020	ST108	KL23	PRJEB107069	no
ERR17057710	Colombia	2020	ST79	KL22	PRJEB107069	no
ERR17057711	Colombia	2020	ST78	KL3	PRJEB107069	no
ERR17057712	Colombia	2021	ST78	KL3	PRJEB107069	no
ERR17057713	Colombia	2020	ST78	KL3	PRJEB107069	no
ERR17057714	Colombia	2020	ST2284	KL15	PRJEB107069	no
ERR17057715	Colombia	2020	ST150	KL97	PRJEB107069	no
ERR17057720	Colombia	2020	ST32	KL2	PRJEB107069	no
ERR17057721	Colombia	2020	ST1357	KL121	PRJEB107069	no
ERR17057724	Colombia	2021	ST78	KL23	PRJEB107069	no
ERR17057729	Colombia	2021	ST1405	KL48	PRJEB107069	no
ERR17057730	Colombia	2021	ST79	KL151	PRJEB107069	no
ERR17057731	Colombia	2021	ST79	KL151	PRJEB107069	no
ERR17057733	Colombia	2021	ST108	KL33	PRJEB107069	no
ERR17057735	Colombia	2021	ST108	KL23	PRJEB107069	no
ERR17057736	Colombia	2021	ST424	KL48	PRJEB107069	no
ERR17057737	Colombia	2021	ST464	KL121	PRJEB107069	no
ERR17057738	Colombia	2021	ST464	KL121	PRJEB107069	no
ERR17057744	Colombia	2021	ST1094	KL145	PRJEB107069	no
ERR4436639	Argentina	NA	ST25	KL81	PRJEB27899	no
ERR4436640	Argentina	NA	ST15	KL22	PRJEB27899	no
ERR4436744	Colombia	NA	ST79	KL151	PRJEB27899	no
ERR5709464	Bolivia	NA	ST15	KL9	PRJEB39593	no
ERR5709466	Chile	NA	ST15	KL9	PRJEB39593	no
ERR5709481	Argentina	NA	ST15	KL9	PRJEB39593	no
GCA_000757665.1	Argentina	2012	ST79	KL22	PRJNA257414	no
GCA_000814345.1	Colombia	2012	ST464	KL31	PRJNA270223	no
GCA_000836625.1	Argentina	1994	ST1	KL1	PRJNA261239	no
GCA_000966305.1	Chile	2007	ST-	KL19	PRJNA279414	no
GCA_000988155.1	Brasil	2009	ST15	KL81	PRJNA280110	no
GCA_001007775.1	Argentina	2011	ST25	KL9	PRJNA276040	no
GCA_001500225.1	Brasil	2003	ST15	KL9	PRJNA299302	no
GCA_001649615.1	Brasil	2010	ST317	KL11	PRJNA301792	no
GCA_001649625.1	Brasil	2010	ST317	KL11	PRJNA301792	no
GCA_001649675.1	Brasil	2011	ST79	KL9	PRJNA301792	no
GCA_001649705.1	Brasil	2011	ST79	KL9	PRJNA301792	no
GCA_001649765.1	Brasil	2011	ST79	KL49	PRJNA301792	no
GCA_001649795.1	Brasil	2011	ST79	KL49	PRJNA301792	no
GCA_001649805.1	Brasil	2011	ST79	KL49	PRJNA301792	no
GCA_001649815.1	Brasil	2013	ST107	KL47	PRJNA301792	no
GCA_001649875.1	Brasil	2011	ST79	KL49	PRJNA301792	no
GCA_001649895.1	Brasil	2011	ST79	KL49	PRJNA301792	no
GCA_001649955.1	Brasil	2012	ST79	KL49	PRJNA301792	no
GCA_001649975.1	Brasil	2012	ST317	KL11	PRJNA301792	no
GCA_001758065.1	Brasil	2002	ST32	KL22	PRJNA301792	no
GCA_001758135.1	Brasil	2011	ST79	KL9	PRJNA301792	no
GCA_001758165.1	Brasil	2004	ST107	KL47	PRJNA301792	no
GCA_001891205.1	Colombia	2014	ST920	KL172	PRJNA354075	si
GCA_002018935.1	Brasil	2010	ST79	KL9	PRJNA301792	no
GCA_002018965.1	Brasil	2010	ST79	KL9	PRJNA301792	no
GCA_002018995.1	Brasil	2011	ST79	KL9	PRJNA301792	no
GCA_002019005.1	Brasil	2011	ST79	KL9	PRJNA301792	no
GCA_002019025.1	Brasil	2011	ST79	KL9	PRJNA301792	no
GCA_002019035.1	Brasil	2011	ST79	KL49	PRJNA301792	no
GCA_002245595.1	Brasil	2012	ST1	KL1	PRJNA391101	no
GCA_002250465.1	Brasil	2014	ST730	KL33	PRJNA391474	no
GCA_002922935.1	Brasil	2008	ST107	KL47	PRJNA432549	no
GCA_003130565.1	Chile	2017	ST15	KL22	PRJNA471066	no
