genoma	tipo_rep	contig	rep_ini	rep_fin	contig_len	pident	cov
ERR17057656	r3-T18	contig00027	277	1227	5372	100.0	100.0
ERR17057656	r3-T3	contig00022	21361	22482	25034	100.0	100.0
ERR17057656	r3-T31	contig00025	284	1216	7228	99.14	100.0
ERR17057658	r3-T28	contig00052	8441	9379	9737	100.0	100.0
ERR17057658	r3-T3	contig00036	27343	28464	28896	100.0	100.0
ERR17057658	r3-T86	contig00047	8198	9127	11354	100.0	100.0
ERR17057662	r1-T4	contig00079	93	1199	2089	95.4	93.7
ERR17057662	r3-T11	contig00060	4054	4977	11227	99.35	100.0
ERR17057662	r3-T26	contig00072	308	1249	5392	100.0	100.0
ERR17057663	r1-T4	contig00077	870	1976	2089	95.4	93.7
ERR17057663	r3-T11	contig00059	4054	4977	12496	99.35	100.0
ERR17057663	r3-T26	contig00072	309	1250	5392	100.0	100.0
ERR17057664	r3-T26	contig00049	310	1251	5392	100.0	100.0
ERR17057667	r3-T13	contig00053	11687	12616	15398	100.0	100.0
ERR17057669	r3-T3	contig00024	21362	22483	25035	100.0	100.0
ERR17057669	r3-T5	contig00036	754	1677	3244	100.0	100.0
ERR17057669	r3-T7	contig00021	4552	5724	26881	100.0	100.0
ERR17057672	r3-T27	contig00008	9910	10851	27650	100.0	100.0
ERR17057674	r3-T13	contig00048	3285	4214	10485	100.0	100.0
ERR17057674	r3-T3	contig00036	2553	3674	25034	100.0	100.0
ERR17057680	r3-T23	contig00009	141404	142303	149304	99.33	100.0
ERR17057680	rP-T1	contig00022	46748	47923	70067	100.0	100.0
ERR17057681	r3-T23	contig00001	7002	7901	428127	99.33	100.0
ERR17057681	rP-T1	contig00018	22145	23320	70067	100.0	100.0
ERR17057689	r3-T26	contig00046	311	1252	5392	100.0	100.0
ERR17057690	r3-T26	contig00048	2212	3153	5392	100.0	100.0
ERR17057691	r3-T26	contig00048	1989	2930	5392	100.0	100.0
ERR17057692	r3-T26	contig00047	301	1242	5392	100.0	100.0
ERR17057693	r3-T1	contig00029	908	1858	11223	98.53	100.0
ERR17057694	r3-T7	contig00021	29214	30386	52676	100.0	100.0
ERR17057694	r3-T86	contig00027	7135	8064	8185	99.89	100.0
ERR17057697	r3-T13	contig00063	3648	4577	15398	100.0	100.0
ERR17057700	r3-T24	contig00013	3430	4365	7365	99.68	100.0
ERR17057702	r3-T2	contig00071	988	1938	18307	100.0	100.0
ERR17057702	r3-T46	contig00025	48154	49323	54254	99.92	100.0
ERR17057702	r3-T6	contig00071	12268	13197	18307	100.0	100.0
ERR17057702	r3-T78	contig00096	213	1142	5612	99.78	100.0
ERR17057702	r3-T91	contig00068	17300	18214	20598	100.0	100.0
ERR17057705	r3-T3	contig00041	2551	3672	25033	100.0	100.0
ERR17057708	r3-T13	contig00014	13564	14493	20501	100.0	100.0
ERR17057708	r3-T43	contig00014	875	1804	20501	100.0	100.0
ERR17057710	r3-T11	contig00055	7518	8441	12494	99.35	100.0
ERR17057710	r3-T26	contig00066	4334	5275	5392	100.0	100.0
ERR17057715	r3-T3	contig00010	60844	61965	112266	99.91	100.0
ERR17057715	r3-T34	contig00022	255	1178	9737	99.89	100.0
ERR17057715	r3-T7	contig00017	12637	13809	30787	100.0	100.0
ERR17057720	r3-T3	contig00037	21361	22482	25034	100.0	100.0
ERR17057720	r3-T31	contig00053	1033	1965	5676	99.14	100.0
ERR17057720	r3-T5	contig00059	1677	2600	3469	99.89	100.0
ERR17057724	r3-T15	contig00077	972	1904	2390	100.0	100.0
ERR17057726	r3-T18	contig00043	277	1227	6831	100.0	100.0
ERR17057726	r3-T3	contig00023	9048	10169	50275	100.0	100.0
ERR17057726	r3-T6	contig00040	3265	4194	9231	100.0	100.0
ERR17057727	r3-T18	contig00041	5754	6704	6831	100.0	100.0
ERR17057727	r3-T3	contig00021	9048	10169	50275	100.0	100.0
ERR17057727	r3-T6	contig00037	3241	4170	9231	100.0	100.0
ERR17057729	r3-T3	contig00006	61052	62173	109999	100.0	100.0
ERR17057729	r3-T7	contig00074	6872	8044	8316	100.0	100.0
